Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name: Value: Position);Available online only(0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories(x, y, z...)
1;1;Naprzód (DVD);Animowany, Familijny, Przygodowy ;39.99;;19.990000000000002;1;;0;2020-11-02;2020-11-07;demo_1;demo_1;;;;;;;;;;;;810;1;;0;both;;;;;Najnowsza produkcja ze studia Disney Pixar.;;;;;naprzod-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
2;1;Czarownica 2 (DVD);Familijny, Fantasy ;39.99;;19.990000000000002;1;;0;2020-11-02;2020-11-07;demo_2;demo_2;;;;;;;;;;;;270;1;;0;both;;;;;„Czarownica 2” z Angeliną Jolie w roli głównej to dalszy ciąg historii najsłynniejszego czarnego charakteru Disneya. Po wielu wspólnych szczęśliwych latach relacja Diaboliny i jej córki chrzestnej Aurory zostaje wystawiona na ciężką próbę. Przyczyną jest zbliżający się ślub Aurory. W życiu bohaterek pojawiają się nieoczekiwani sojusznicy i nowe, mroczne siły. Ich miłość okazuje się jednak mocniejsza, dzięki czemu żyją długo i szczęśliwie.;;;;;czarownica-2-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
3;1;Kraina lodu 2 (DVD);Animowany, Familijny, Przygodowy ;39.99;;19.990000000000002;1;;0;2020-11-02;2020-11-07;demo_3;demo_3;;;;;;;;;;;;455;1;;0;both;;;;;Wielokrotnie nagradzani twórcy światowego fenomenu powracają z filmem! W „Krainie lodu II” znanym postaciom towarzyszy zupełnie nowa muzyka. Elsa, Anna, Kristoff, Olaf i Sven wyruszają z Arendelle do Zaklętej Puszczy oraz za Mroczne Morze. Czy Elsie uda się poznać prawdę o jej przeszłości oraz odkryć co zagraża królestwu?;;;;;kraina-lodu-2-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
4;1;Paskudy. UglyDolls (DVD) + Książka;Animowany, Komedia, Przygodowy ;9.99;;-10.01;1;;0;2020-11-02;2020-11-07;demo_4;demo_4;;;;;;;;;;;;73;1;;0;both;;;;;Niech żyją wyjątkowi, niezwykli, jedyni w swoim rodzaju! Poznajcie Paskudy – bohaterów nowej komedii dla całej rodziny, która udowadnia, że nie musisz być pięknym, żeby być wspaniałym!Paskudy są miłe, bystre i życzliwe, ale nietypowa uroda wyklucza je ze świata pięknych lalek, które mają nieść radość dzieciom. Pogodzone z losem wiodą spokojny żywot w położonym na uboczu Paskudowie. Dla małej zadziornej Moxy to jednak za mało. Ona pragnie poznać świat i zrozumieć, dlaczego Paskudy nie mogą trafiać do rąk dzieciaków. Razem z grupą przyjaciół przedostaje się do skostniałego, pełnego reguł miasta lalek idealnych. Wszystko tu jest eleganckie, symetryczne, ale zimne i pozbawione uroku. Czy poczucie humoru i niespożyta energia Moxy może to zmienić i udowodnić, że nie trzeba być idealnym by być wspaniałym?! Czy Paskudy mają szansę spełnić swoje marzenie, by nieść radość dzieciom? No raczej, bo przecież Paskudne jest cudne!;;;;;paskudy-uglydolls-dvd-ksiazka;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
5;1;Western stars (DVD);Dokumentalny, Muzyczny ;39.99;;19.990000000000002;1;;0;2020-11-02;2020-11-07;demo_5;demo_5;;;;;;;;;;;;892;1;;0;both;;;;;Bruce Springsteen przenosi na ekran swój najnowszy studyjny album Western Stars, wykonując każdą z trzynastu piosenek z zespołem i orkiestrą w swojej prawie stuletniej stodole. Western Stars to debiut reżyserski Springsteena. W realizacji filmu brał udział jego stały współpracownik Thom Zimny, dzięki temu poznajemy życie i twórczość tego wielkiego amerykańskiego artysty z zupełnie innej strony. Film łączy materiały dokumentalne z koncertów, wspomnienia Springsteena i jego prywatne nagrania z zapierającymi dech w piersiach widokami amerykańskiego Zachodu. Jednym słowem – to opowieść o miłości i stracie, odosobnieniu, rodzinie i wiecznym poszukiwaniu bezkresnej przestrzeni.;;;;;western-stars-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
6;1;Mr. Gaga (DVD);Biograficzny, Dokumentalny ;19.99;;-0.010000000000001563;1;;0;2020-11-02;2020-11-07;demo_6;demo_6;;;;;;;;;;;;250;1;;0;both;;;;;„Mr. Gaga” opowiada o Ohadzie Naharinie, genialnym choreografie i prowadzonej przez niego Batsheva Dance Company. Reżyser Tomer Heymann przez 8 lat rejestrował spektakle i życie człowieka, który zrewolucjonizował język tańca. Naharin opracował język ruchu – GAGA, pozwalający zrozumieć związek ruchu i ciała z naszymi emocjami. W połączeniu z niepokazywanym dotychczas materiałem archiwalnym oraz fragmentami tanecznych spektakli Batshevy dostajemy fascynującą historię człowieka, który stał się ikoną tańca współczesnego.;;;;;mr-gaga-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
7;1;Nasze miejsce na Ziemi (DVD);Dokumentalny ;26.99;;6.989999999999998;1;;0;2020-11-02;2020-11-07;demo_7;demo_7;;;;;;;;;;;;762;1;;0;both;;;;;Obsypany nagrodami na kilkunastu festiwalach filmowych niezwykły film dokumentalny, który ogląda się jak najlepszą fabułę. Realizowany przez osiem lat hołd złożony niezwykłemu bogactwu otaczającej nas przyrody, którą musimy nauczyć się rozumieć zanim będzie za późno. Nieocenione źródło wiedzy o świecie, który okazuje się znacznie bardziej niezwykły, niż nam się wydaje.Znakomity reżyser John Chester wraz z żoną Molly muszą opuścić swoje małe mieszkanko w Los Angeles. Wszystko za sprawą ukochanego psa Todda, którego szczekanie drażni sąsiadów. Chesterowie traktują swoje wygnanie jako pretekst do realizacji marzenia o własnej farmie, funkcjonującej w zgodzie z prawami natury. 80 hektarów ziemi w upalnej Kalifornii staje się odtąd ich nowym domem. Z pomocą przyjaciół i zapaleńców z całego świata, Jack i Molly realizują wyjątkowy projekt: 10 tysięcy drzew, ponad 200 rodzajów upraw i dziesiątki gatunków zwierząt żyjących w zgodzie ze sobą i swoją naturą, a wszystko to bez udziału szkodliwej chemii i bezdusznej technologii.;;;;;nasze-miejsce-na-ziemi-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
8;1;Amy;Dokumentalny, Muzyczny ;19.99;;-0.010000000000001563;1;;0;2020-11-02;2020-11-07;demo_8;demo_8;;;;;;;;;;;;741;1;;0;both;;;;;"Nieznana, prawdziwa historia wielkiej gwiazdy – błyskotliwej dziewczyny, obdarzonej wyjątkowym talentem, która w rekordowo krótkim czasie osiągnęła szczyty sławy. Przejmująca opowieść o inteligentnej i skomplikowanej kobiecie, która chciała tylko, aby ją kochano. Kim była naprawdę Amy Winehouse, która z dnia na dzień stała się ikoną światowej muzyki? Jak odmieniło ją spotkanie z mężczyzną, którego obdarzyła uczuciem silniejszym niż narkotyk? Co ukrywała przed światem? Dlaczego zginęła w tajemniczych okolicznościach w wieku zaledwie 27 lat? „Amy” to trzymająca w napięciu historia, stworzona z nieznanych dotąd materiałów, kręconych ukradkiem ujęć, zbliżeń i wyznań. Przejmujący film, który ukazuje prawdziwą historię, znaną tylko z plotkarskich portali i pierwszych stron gazet. Amy Winehouse – z dala od kamer, prywatnie, intymnie, a także na scenie w świetle reflektorów. Jej talent, miłość i tajemnica w filmowym wydarzeniu, które zachwyciło i wzruszyło światową widownię.
";;;;;amy;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
9;1;Droga powrotna (DVD);Dramat, Sportowy ;39.99;;19.990000000000002;1;;0;2020-11-02;2020-11-07;demo_9;demo_9;;;;;;;;;;;;836;1;;0;both;;;;;Jack Cunningham (Ben Affleck) był w liceum gwiazdą koszykówki, rysowała się przed nim obiecująca przyszłość. Niespodziewanie porzucił sport. Po latach zmaga się z alkoholizmem, zapłacił już małżeństwem i nadzieją na lepsze życie. Propozycja objęcia funkcji trenera koszykówki w jego dawnej szkole jest pretekstem do stawienia czoła rozterkom duszy. Czy to wystarczy, żeby zabliźniły się głębokie rany z przeszłości? Czy Jack wreszcie przejdzie wewnętrzną przemianę?;;;;;droga-powrotna-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
10;1;Tylko sprawiedliwość (DVD);Dramat ;39.99;;19.990000000000002;1;;0;2020-11-02;2020-11-07;demo_10;demo_10;;;;;;;;;;;;37;1;;0;both;;;;;Przejmująca historia absolwenta Harvardu Bryna Stevensona, który odrzuca lukratywne propozycje pracy, by w Alabamie bronić niesłusznie oskarżonych. Wspierany przez miejscową adwokat podejmuje się głośnej sprawy McMilliana skazanego na śmierć za morderstwo. W obliczu jawnego rasizmu i politycznych gierek Bryan broni Waltera i innych skazańców.;;;;;tylko-sprawiedliwosc-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
11;1;Big Love;Dramat ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_11;demo_11;;;;;;;;;;;;662;1;;0;both;;;;;"Big Love to polski film fabularny z 2012 roku w reżyserii Barbary Białowąs. W rolach głównych wystąpili Aleksandra Hamkało oraz Antoni Pawlicki.
";;;;;big-love-1;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
12;1;Ugotowany (booklet DVD);Dramat, Komedia ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_12;demo_12;;;;;;;;;;;;179;1;;0;both;;;;;"Adam Jones (Bradley Cooper) to charyzmatyczny szef kuchni, który szybko zyskał rozgłos jako guru paryskich restauratorów. Podążał własną ścieżką i tworzył intrygujące połączenia smaków. Nie udźwignął jednak ciężaru sławy, zniknął z pierwszych stron gazet i rozpłynął się w powietrzu. Teraz, wolny od wszelkich uzależnień, próbuje swoich sił w sercu kulinarnego Londynu. Gromadzi doborową załogę, by stworzyć najlepszą restaurację na świecie. Czy, kierując grupą utalentowanych ekscentryków, zdoła wspiąć się na kulinarny Olimp? Czy uczucie do pięknej Helene (Sienna Miller) nie przeszkodzi mu w zdobyciu upragnionej, trzeciej gwiazdki Michelin?
";;;;;ugotowany-booklet-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
13;1;Gwiezdne Wojny: Skywalker. Odrodzenie (DVD);Przygodowy, Science fiction ;29.99;;9.989999999999998;1;;0;2020-11-02;2020-11-07;demo_13;demo_13;;;;;;;;;;;;361;1;;0;both;;;;;Lucasfilm i reżyser J.J. Abrams ponownie łączą siły, aby zabrać widzów w spektakularną podróż do odległej galaktyki. Film „Gwiezdne wojny: Skywalker. Odrodzenie” to fascynujące zakończenie sagi Skywalkerów – narodzą się nowe legendy i ostatecznie zostanie rozstrzygnięta bitwa o wolność.;;;;;gwiezdne-wojny-skywalker-odrodzenie-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
14;1;Czarownica 2 (DVD);Familijny, Fantasy ;39.99;;19.990000000000002;1;;0;2020-11-02;2020-11-07;demo_14;demo_14;;;;;;;;;;;;121;1;;0;both;;;;;„Czarownica 2” z Angeliną Jolie w roli głównej to dalszy ciąg historii najsłynniejszego czarnego charakteru Disneya. Po wielu wspólnych szczęśliwych latach relacja Diaboliny i jej córki chrzestnej Aurory zostaje wystawiona na ciężką próbę. Przyczyną jest zbliżający się ślub Aurory. W życiu bohaterek pojawiają się nieoczekiwani sojusznicy i nowe, mroczne siły. Ich miłość okazuje się jednak mocniejsza, dzięki czemu żyją długo i szczęśliwie.;;;;;czarownica-2-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
