Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
1;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
2;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
2;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
3;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
3;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
4;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
4;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
5;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
5;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
6;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
6;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
7;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
7;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
8;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
8;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
9;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
9;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
10;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
10;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
11;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
11;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
12;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
12;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
13;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
13;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
14;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
14;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
15;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
15;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
16;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
16;Wersja językowa:radio:0;EN:1;;;;;;;;30;;;;;;;;;;;;
3;Color:color:0, Disk space:select:1, ICU:select:2;Metal:0, 80GB Parallel ATA Drive @ 4200 rpm:1, 1.60GHz Intel Core 2 Duo:2;RF-MacBookAir80GB-1.6MHz;RP-MacBookAir80GB-1.6MHz;123457000000;959149242374;0;750;0;10;1;;0;0;2014-01-21;1;http://youdomain.com/img.jpg;First alt text;0;0;0;
