Product ID;Active (0/1);Name;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images(0 = No, 1 = Yes);Feature(Name: Value: Position);Available online only(0 = No, 1 = Yes);Condition;Customizable(0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories(x, y, z...)
558;1;Film GALAPAGOS Władca Pierścieni: Drużyna Pierścienia;1014|1002|1000|1011;32.51;1;23.79;0;;;;;demo_558;demo_558;;;;;;;;;;;;;1;;0;both;;;;Film;Wspierany przez odważną drużynę przyjaciół, Frodo Baggins wyrusza na niebezpieczną wyprawę, aby zniszczyć legendarny Pierścień Władzy w ogniu Góry Przeznaczenia, aby nie dostał się on w posiadanie złego Lorda Saurona. Zadziwiająca przygoda rozpoczyna się wraz z pierwszą częścią trylogii przeniesionej na ekran przez reżysera/ scenarzystę Petera Jacksona, która raz na zawsze zmieniła pojęcie filmu fantasy. Ta pełna fantazji podróż w głąb Śródziemia J.R.R. Tolkiena była nominowana do 13 Nagród Akademii, z czego zdobyła 4 statuetki, w tym za Najlepszy film. Płyta pierwsza - BLU-RAY: film i zwiastuny, płyta druga - DVD: ponad 3 godziny dodatków specjalnych.;;;;;film-galapagos-wladca-pierscieni-druzyna-pierscienia-2;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;1;Tytuł oryginalny:The Lord of The Rings The Fellowship of The Ring:1|Gatunek:Fantasy:2|Reżyseria:Jackson Peter:3|Obsada:Lee Christopher Frank Carandini:4|Obsada:McKellen Sir Ian:4|Obsada:Mortensen Viggo:4|Obsada:Tyler Liv:4|Obsada:Wood Elijah:4|Scenariusz:Frances Walsh:5|Scenariusz:Peter Jackson:5|Scenariusz:Philippa Boyens:5|Muzyka:Howard Shore:6|Czas trwania [min]:178:7|Kraj produkcji:Nowa Zelandia:8|Kraj produkcji:USA:8|Rok produkcji:2001:9|Nośnik:Blu-ray:10|Liczba nośników:1:11|Napisy:Angielskie:12|Napisy:Arabskie:12|Napisy:Bułgarskie:12|Napisy:Chińskie:12|Napisy:Chorwackie:12|Napisy:Czeskie:12|Napisy:Koreańskie:12|Napisy:Litewskie:12|Napisy:Polskie:12|Napisy:Portugalskie:12|Napisy:Rosyjskie:12|Napisy:Rumuńskie:12|Napisy:Serbskie:12|Napisy:Słowackie:12|Napisy:Tajskie:12|Dźwięk:Angielski 5.1 DTS-HD-MA:13|Dźwięk:Czeski 5.1:13|Dźwięk:Polski 5.1 (lektor):13|Dźwięk:Portugalski 2.0:13|Dźwięk:Rosyjski 5.1:13|Dźwięk:Tajski 5.1:13|Dźwięk:Węgierski 5.1:13|Format obrazu:Full HD:14|Format obrazu:2.351:14|Format obrazu:169:14|Dodatkowo na płycie:Zwiastun filmowy:15|Dodatkowo na płycie:Zwiastun gry The Lord of the Rings Aragorns Quest:15|Region:B:16|;0;new;1;;;;;;;;;;;;;
563;1;Film GALAPAGOS Władca Pierścieni: Dwie Wieże;1014|1002|1000|1011;32.51;1;23.79;0;;;;;demo_563;demo_563;;;;;;;;;;;;;1;;0;both;;;;Film;Frodo i Samwise zmierzają do Mordoru. Gollum nalega, by wskazać im drogę. Czy ktoś tak opętany przez Pierścień może być godny zaufania? Czy Frodo, na którego Pierścień wywiera coraz większy wpływ, może ufać samemu sobie? W tym samym czasie Aragorn podąża w kierunku swego królewskiego przeznaczenia, gromadząc sojusznicze siły do walki, która musi wkrótce nastąpić. Reżyser Peter Jackson zrealizował olśniewającą drugą część trylogii, która z 6 nominacji do Nagrody Akademii zdobyła 2 statuetki, w tym za Najlepszy film. Wyprawa trwa. Tak jak zadziwiające, pełne splendoru widowisko. Płyta pierwsza - BLU-RAY: film i zwiastuny, płyta druga - DVD: ponad 3 godziny dodatków specjalnych.;;;;;film-galapagos-wladca-pierscieni-dwie-wieze-2;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;1;Tytuł oryginalny:The Lord of the Rings The Two Towers:1|Gatunek:Fantasy:2|Reżyseria:Jackson Peter:3|Obsada:Lee Christopher Frank Carandini:4|Obsada:McKellen Sir Ian:4|Obsada:Mortensen Viggo:4|Obsada:Tyler Liv:4|Obsada:Wood Elijah:4|Scenariusz:Frances Walsh:5|Scenariusz:Peter Jackson:5|Scenariusz:Philippa Boyens:5|Scenariusz:Stephen Sinclair:5|Muzyka:Howard Shore:6|Czas trwania [min]:179:7|Kraj produkcji:Niemcy:8|Kraj produkcji:Nowa Zelandia:8|Kraj produkcji:USA:8|Rok produkcji:2002:9|Nośnik:Blu-ray:10|Liczba nośników:1:11|Napisy:Angielskie:12|Napisy:Arabskie:12|Napisy:Bułgarskie:12|Napisy:Chińskie:12|Napisy:Chorwackie:12|Napisy:Czeskie:12|Napisy:Estońskie:12|Napisy:Koreańskie:12|Napisy:Litewskie:12|Napisy:Polskie:12|Napisy:Portugalskie:12|Napisy:Rosyjskie:12|Napisy:Serbskie:12|Napisy:Słoweńskie:12|Napisy:Tajskie:12|Napisy:Węgierskie:12|Dźwięk:Angielski 5.1 DTS-HD-MA:13|Dźwięk:Czeski 5.1:13|Dźwięk:Polski 5.1 (lektor):13|Dźwięk:Portugalski 5.1:13|Dźwięk:Rosyjski 5.1:13|Dźwięk:Tajski 5.1:13|Dźwięk:Węgierski 5.1:13|Format obrazu:Full HD:14|Format obrazu:2.351:14|Format obrazu:169:14|Dodatkowo na płycie:Zwiastun filmowy:15|Dodatkowo na płycie:Zwiastun gry The Lord of the Rings Aragorns Quest:15|Region:B:16|;0;new;1;;;;;;;;;;;;;
557;1;Film GALAPAGOS Władca Pierścieni: Powrót Króla;1014|1002|1000|1011;32.51;1;23.79;0;;;;;demo_557;demo_557;;;;;;;;;;;;;1;;0;both;;;;Film;Nadszedł ten czas. Czas Frodo, który musi pokonać przebiegłego Golluma, przetrwać przerażający atak olbrzymiego pająka Sheloby i oprzeć się zniewalającej mocy Pierścienia, który niesie za sobą zniszczenie i zgubę. Czas Aragorna, który musi dobyć miecza swych przodków i przyjąć koronę swojego dziedzictwa. Czas potężnego starcia, które czarodziej Gandalf nazwał największą bitwą naszych czasów. Nadszedł też czas inspirującej kulminacji trylogii opartej na klasyce literatury autorstwa J.R.R. Tolkiena. Po raz trzeci film z kultowej trylogii zdobył nominację do Nagrody Akademii w kategorii Najlepszy film i po raz pierwszy ją otrzymał (oraz 10 innych). Król zasłużył na swoją koronę. Płyta pierwsza - BLU-RAY: film i zwiastuny, płyta druga - DVD: ponad 3 godziny dodatków specjalnych.;;;;;film-galapagos-wladca-pierscieni-powrot-krola-2;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;1;Tytuł oryginalny:The Lord of the Rings The Return of the King:1|Gatunek:Fantasy:2|Reżyseria:Jackson Peter:3|Obsada:Lee Christopher Frank Carandini:4|Obsada:McKellen Sir Ian:4|Obsada:Mortensen Viggo:4|Obsada:Tyler Liv:4|Obsada:Wood Elijah:4|Scenariusz:Frances Walsh:5|Scenariusz:Peter Jackson:5|Scenariusz:Philippa Boyens:5|Muzyka:Howard Shore:6|Czas trwania [min]:200:7|Kraj produkcji:Nowa Zelandia:8|Rok produkcji:2003:9|Nośnik:Blu-ray:10|Liczba nośników:1:11|Napisy:Angielskie:12|Napisy:Arabskie:12|Napisy:Bułgarskie:12|Napisy:Chorwackie:12|Napisy:Czeskie:12|Napisy:Estońskie:12|Napisy:Koreańskie:12|Napisy:Litewskie:12|Napisy:Polskie:12|Napisy:Portugalskie:12|Napisy:Rosyjskie:12|Napisy:Rumuńskie:12|Napisy:Serbskie:12|Napisy:Słoweńskie:12|Napisy:Węgierskie:12|Dźwięk:Angielski 6.1 DTS-HD-MA:13|Dźwięk:Polski 5.1 (lektor):13|Dźwięk:Rosyjski 5.1:13|Dźwięk:Tajski 5.1:13|Dźwięk:Węgierski 5.1:13|Format obrazu:Full HD:14|Format obrazu:2.351:14|Format obrazu:169:14|Dodatkowo na płycie:Zwiastun filmowy:15|Dodatkowo na płycie:Zwiastun gry The Lord of the Rings Aragorns Quest:15|Region:B:16|;0;new;1;;;;;;;;;;;;;
641;1;Film IMPERIAL CINEPIX Ale czad!;1016|1002|1000|1011;12.19;1;8.92;0;;;;;demo_641;demo_641;;;;;;;;;;;;;1;;0;both;;;;Film;Ale czad! to komedia amerykańskiej produkcji z 2009 roku. Jej reżyserem jest Will Gluck. Główne role zagrali: Alan Ritchson, Eric Christian Olsen, Sarah Roemer.;;;;;film-imperial-cinepix-ale-czad;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;1;"Tytuł oryginalny:Fired Up:1|Gatunek:Komedia:2|Reżyseria:Gluck Will:3|Obsada:Olsen Eric Christian:4|Obsada:Ritchson Alan:4|Obsada:Roemer Sarah Christine:4|Scenariusz:Freedom Jones:5|Muzyka:Richard Gibbs:6|Czas trwania [min]:87:7|Kraj produkcji:USA:8|Rok produkcji:2009:9|Nośnik:Blu-ray:10|Liczba nośników:1:11|Napisy:Angielskie:12|Napisy:Arabskie:12|Napisy:Bułgarskie:12|Napisy:Chorwackie:12|Napisy:Czeskie:12|Napisy:Estońskie:12|Napisy:Greckie:12|Napisy:Hebrajskie:12|Napisy:Islandzkie:12|Napisy:Litewskie:12|Napisy:Polskie:12|Napisy:Rumuńskie:12|Napisy:Serbskie:12|Napisy:Słowackie:12|Napisy:Słoweńskie:12|Napisy:Tureckie:12|Napisy:Węgierskie:12|Dźwięk:Angielski 5.1 TRUE HD:13|Dźwięk:Czeski 5.1:13|Dźwięk:Polski 5.1 (lektor):13|Dźwięk:Turecki 5.1:13|Dźwięk:Węgierski 5.1:13|Format obrazu:Full HD:14|Format obrazu:1.851:14|Format obrazu:169:14|Dodatkowo na płycie:BD-live:15|Dodatkowo na płycie:Dwa oblicza - reportaż:15|Dodatkowo na płycie:Gagi:15|Dodatkowo na płycie:Komentarze - Will Gluck; Nicholas DAgosto; Eric Christian Olsen:15|Dodatkowo na płycie:Reportaż o powstawaniu filmu:15|Dodatkowo na płycie:Zwiastuny:15|Region:B:16|";0;new;1;;;;;;;;;;;;;
638;1;Film IMPERIAL CINEPIX Jak długo jeszcze?;1016|1002|1000|1011;12.19;1;8.92;0;;;;;demo_638;demo_638;;;;;;;;;;;;;1;;0;both;;;;Film;Jak długo jeszcze? To komedia amerykańskiej produkcji z 2007 roku. Jej reżyserem jest Steve Carr. GŁówne role zagrali: Ice Cube, Nia Long, John C. McGinley, Linda Kash.;;;;;film-imperial-cinepix-jak-dlugo-jeszcze-1;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;1;"Tytuł oryginalny:Are We Done Yet?:1|Gatunek:Komedia:2|Reżyseria:Carr Steve:3|Obsada:Ice Cube:4|Obsada:Kash Linda:4|Obsada:Long Nitara Carlynn ""Nia"":4|Obsada:McGinley John C.:4|Scenariusz:Hank Nelken:5|Muzyka:Teddy Castellucci:6|Czas trwania [min]:88:7|Kraj produkcji:USA:8|Rok produkcji:2007:9|Nośnik:Blu-ray:10|Liczba nośników:1:11|Napisy:Angielskie:12|Napisy:Arabskie:12|Napisy:Bułgarskie:12|Napisy:Chorwackie:12|Napisy:Czeskie:12|Napisy:Greckie:12|Napisy:Hindi:12|Napisy:Islandzkie:12|Napisy:Polskie:12|Napisy:Rumuńskie:12|Napisy:Słoweńskie:12|Napisy:Tureckie:12|Napisy:Węgierskie:12|Dźwięk:Angielski 5.1:13|Format obrazu:1.851:14|Format obrazu:169:14|Region:B:15|";0;new;1;;;;;;;;;;;;;
626;1;Film IMPERIAL CINEPIX Nick i Norah;1016|1002|1000|1011;12.19;1;8.92;0;;;;;demo_626;demo_626;;;;;;;;;;;;;1;;0;both;;;;Film;Nick i Norah to romantyczna komedia muzyczna amerykańskiej produkcji z 2008 roku. Jej reżyserem jest Peter Sollet. Główne role zagrali: Michael Cera, Kat Dennings, Aaron Yoo.;;;;;film-imperial-cinepix-nick-i-norah;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;1;"Tytuł oryginalny:Nick and Norahs Infinite Playlist:1|Gatunek:Komedia:2|Reżyseria:Sollet Peter:3|Obsada:Cera Michael:4|Obsada:Dennings Kat:4|Obsada:Yoo Aaron:4|Scenariusz:Lorene Scafaria:5|Scenariusz:Rachel Cohn:5|Muzyka:Mark Mothersbaugh:6|Czas trwania [min]:90:7|Kraj produkcji:USA:8|Rok produkcji:2008:9|Nośnik:Blu-ray:10|Liczba nośników:1:11|Napisy:Angielskie:12|Napisy:Arabskie:12|Napisy:Bułgarskie:12|Napisy:Chorwackie:12|Napisy:Czeskie:12|Napisy:Estońskie:12|Napisy:Greckie:12|Napisy:Hebrajskie:12|Napisy:Hinduskie:12|Napisy:Islandzkie:12|Napisy:Litewskie:12|Napisy:Polskie:12|Napisy:Rosyjskie:12|Napisy:Rumuńskie:12|Napisy:Słowackie:12|Napisy:Słoweńskie:12|Napisy:Tureckie:12|Napisy:Ukraińskie:12|Napisy:Węgierskie:12|Dźwięk:Angielski 5.1 TRUE HD:13|Dźwięk:Czeski 5.1:13|Dźwięk:Polski 5.1 (lektor):13|Dźwięk:Rosyjski 5.1:13|Dźwięk:Turecki 5.1:13|Dźwięk:Ukraiński 5.1:13|Dźwięk:Węgierski 5.1:13|Format obrazu:Full HD:14|Format obrazu:2.401:14|Format obrazu:169:14|Dodatkowo na płycie:Cinechat:15|Dodatkowo na płycie:Gagi:15|Dodatkowo na płycie:Galeria fotosów:15|Dodatkowo na płycie:Komentarze audio twórców i aktorów:15|Dodatkowo na płycie:Nick i Norah - interaktywna playlista:15|Dodatkowo na płycie:Reportaże:15|Dodatkowo na płycie:Sceny niewykorzystane:15|Dodatkowo na płycie:Storyboardy:15|Dodatkowo na płycie:Teledysk Middle Management - Bishop Allen:15|Dodatkowo na płycie:Wywiad z Michaelem Cera; Kat Dennings i Eddiem Kayem Thomasem:15|Dodatkowo na płycie:Zwiastuny:15|Region:A:16|Region:B:16|Region:C:16|";0;new;1;;;;;;;;;;;;;
592;1;Film IMPERIAL CINEPIX Obsesja;1015|1002|1000|1011;12.19;1;8.92;0;;;;;demo_592;demo_592;;;;;;;;;;;;;1;;0;both;;;;Film;Obsesja to thriller amerykańskiej produkcji z 2009 roku wyreżyserowany przez Steve'a Shilla. Główne role zagrali Ali Larter, Beyonce Knowles, Bruce McGill, Christine Lahti, Idris Elba, Jerry O'Connell.;;;;;film-imperial-cinepix-obsesja;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;1;Tytuł oryginalny:Obsessed:1|Gatunek:Thriller:2|Reżyseria:Shill Steve:3|Obsada:Beyonce:4|Obsada:Elba Idrissa Akuna:4|Obsada:Lahti Christine:4|Obsada:Larter Ali:4|Obsada:McGill Bruce Travis:4|Obsada:O'Connell Jeremiah:4|Scenariusz:David Loughery:5|Muzyka:James Michael Dooley:6|Czas trwania [min]:108:7|Kraj produkcji:USA:8|Rok produkcji:2009:9|Nośnik:Blu-ray:10|Liczba nośników:1:11|Napisy:Angielskie:12|Napisy:Arabskie:12|Napisy:Bułgarskie:12|Napisy:Chińskie:12|Napisy:Chorwackie:12|Napisy:Czeskie:12|Napisy:Estońskie:12|Napisy:Greckie:12|Napisy:Hebrajskie:12|Napisy:Hindi:12|Napisy:Indonezyjskie:12|Napisy:Islandzkie:12|Napisy:Koreańskie:12|Napisy:Litewskie:12|Napisy:Polskie:12|Napisy:Rumuńskie:12|Napisy:Serbskie:12|Napisy:Słowackie:12|Napisy:Słoweńskie:12|Napisy:Tajskie:12|Napisy:Tureckie:12|Napisy:Ukraińskie:12|Napisy:Węgierskie:12|Dźwięk:Angielski 5.1:13|Dźwięk:Czeski 5.1:13|Dźwięk:Polski 5.1 (lektor):13|Dźwięk:Rosyjski 5.1:13|Dźwięk:Tajski 5.1:13|Dźwięk:Węgierski 5.1:13|Format obrazu:Full HD:14|Format obrazu:2.401:14|Format obrazu:169:14|Dodatkowo na płycie:Obsesja zabójczo ubrana:15|Dodatkowo na płycie:Walka dziewczyn:15|Dodatkowo na płycie:Zabawa we dwoje:15|Dodatkowo na płycie:Zwiastuny filmowe:15|Region:B:16|;0;new;1;;;;;;;;;;;;;
587;1;Film IMPERIAL CINEPIX Paranormal Activity 4;1015|1002|1000|1011;12.19;1;8.92;0;;;;;demo_587;demo_587;;;;;;;;;;;;;1;;0;both;;;;Film;Paranormal Activity 4 to horror amerykańskiej produkcji z 2012 roku, którego reżyserami są Henry Joost i Ariel Schulman. W rolach głównych wystąpili Katie Featherston, Brady Allen i Kathryn Newton.;;;;;film-imperial-cinepix-paranormal-activity-4;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;1;Tytuł oryginalny:Paranormal Activity 4:1|Gatunek:Horror:2|Reżyseria:Joost Henry:3|Reżyseria:Schulman Ariel:3|Obsada:Allen Brady:4|Obsada:Featherston Katie:4|Obsada:Newton Kathryn:4|Scenariusz:Christopher Landon:5|Czas trwania [min]:87:6|Kraj produkcji:USA:7|Rok produkcji:2012:8|Nośnik:Blu-ray:9|Liczba nośników:1:10|Napisy:Angielskie:11|Napisy:Arabskie:11|Napisy:Bułgarskie:11|Napisy:Chorwackie:11|Napisy:Czeskie:11|Napisy:Estońskie:11|Napisy:Greckie:11|Napisy:Hebrajskie:11|Napisy:Hindi:11|Napisy:Islandzkie:11|Napisy:Kantońskie:11|Napisy:Koreańskie:11|Napisy:Litewskie:11|Napisy:Łotewskie:11|Napisy:Malajskie:11|Napisy:Mandaryńskie:11|Napisy:Polskie:11|Napisy:Portugalskie:11|Napisy:Rosyjskie:11|Napisy:Rumuńskie:11|Napisy:Serbskie:11|Napisy:Słowackie:11|Napisy:Słoweńskie:11|Napisy:Tajskie:11|Napisy:Tureckie:11|Napisy:Ukraińskie:11|Napisy:Węgierskie:11|Dźwięk:Angielski 5.1 DTS-HD-MA:12|Dźwięk:Czeski 5.1:12|Dźwięk:Polski 5.1 (lektor):12|Dźwięk:Rosyjski 5.1:12|Dźwięk:Tajski 5.1:12|Dźwięk:Turecki 5.1:12|Dźwięk:Węgierski 5.1:12|Format obrazu:1.781:13|Format obrazu:169:13|Dodatkowo na płycie:Odzyskane pliki:14|Region:B:15|;0;new;1;;;;;;;;;;;;;
436;1;Film IMPERIAL CINEPIX Potwory kontra Obcy Monsters vs. Aliens;1011|1002|1000|1011|1012;40.64;1;29.74;0;;;;;demo_436;demo_436;;;;;;;;;;;;;1;;0;both;;;;Film;"""Potwory kontra Obcy"" to film animowany z 2009 roku w reżyserii Conrada Vernona i Roba Lettermana.";;;;;film-imperial-cinepix-potwory-kontra-obcy-monsters-vs-aliens-1;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;1;Tytuł oryginalny:Monsters vs. Aliens:1|Gatunek:Animowany:2|Gatunek:Familijny:2|Reżyseria:Letterman Rob:3|Reżyseria:Vernon Conrad:3|Scenariusz:Glenn Berger:4|Scenariusz:Jonathan Aibel:4|Muzyka:Henry Jackman:5|Czas trwania [min]:94:6|Kraj produkcji:USA:7|Rok produkcji:2009:8|Nośnik:Blu-ray:9|Liczba nośników:1:10|Napisy:Angielskie:11|Napisy:Arabskie:11|Napisy:Bułgarskie:11|Napisy:Chorwackie:11|Napisy:Czeskie:11|Napisy:Greckie:11|Napisy:Islandzkie:11|Napisy:Polskie:11|Napisy:Węgierskie:11|Dźwięk:Angielski 5.1 TRUE HD:12|Dźwięk:Chorwacki 5.1:12|Dźwięk:Czeski 5.1:12|Dźwięk:Grecki 5.1:12|Dźwięk:Islandzki 5.1:12|Dźwięk:Polski 5.1 (dubbing):12|Dźwięk:Węgierski 5.1:12|Format obrazu:2.351:13|Format obrazu:169:13|;0;new;1;;;;;;;;;;;;;
632;1;Film IMPERIAL CINEPIX Ricky Bobby - Demon prędkości (Wersja nieocenzurowana);1016|1002|1000|1011;12.19;1;8.92;0;;;;;demo_632;demo_632;;;;;;;;;;;;;1;;0;both;;;;Film;Ricky Bobby - Demon prędkości to komedia amerykańskiej produkcji z 2006 roku. Reżyserem oraz współtwórcą scenariusza jest Adam McKay. Główne role zagrali: Will Ferrell, Sacha Baron Cohen, John C. Reilly, Michael Clarke Duncan.;;;;;film-imperial-cinepix-ricky-bobby-demon-predkosci-wersja-nieocenzurowana;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;1;Tytuł oryginalny:Talladega Nights The Ballad Of Ricky Bobby:1|Gatunek:Komedia:2|Reżyseria:McKay Adam:3|Obsada:Cohen Sacha Noam Baron:4|Obsada:Duncan:4|Obsada:Ferrell Will:4|Obsada:Reilly John Christopher:4|Scenariusz:Adam McKay:5|Scenariusz:Will Ferrell:5|Muzyka:Alex Wurman:6|Czas trwania [min]:117:7|Kraj produkcji:USA:8|Rok produkcji:2006:9|Nośnik:Blu-ray:10|Liczba nośników:1:11|Napisy:Angielskie:12|Napisy:Arabskie:12|Napisy:Chińskie:12|Napisy:Czeskie:12|Napisy:Duńskie:12|Napisy:Fińskie:12|Napisy:Greckie:12|Napisy:Hebrajskie:12|Napisy:Hindi:12|Napisy:Hiszpańskie:12|Napisy:Islandzkie:12|Napisy:Koreańskie:12|Napisy:Norweskie:12|Napisy:Polskie:12|Napisy:Portugalskie:12|Napisy:Szwedzkie:12|Napisy:Tajskie:12|Napisy:Tureckie:12|Napisy:Węgierskie:12|Dźwięk:Angielski 5.1:13|Dźwięk:Hiszpański 5.1:13|Format obrazu:Full HD:14|Format obrazu:2.401:14|Format obrazu:169:14|Dodatkowo na płycie:Gagi:15|Dodatkowo na płycie:Komentarze:15|Dodatkowo na płycie:Sceny usunięte:15|Dodatkowo na płycie:Wywiady:15|Region:A:16|Region:B:16|Region:C:16|;0;new;1;;;;;;;;;;;;;
